companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
201,WILSON SONS HOLDINGS BRASIL S.A.,PORT3,18.76,12.36,3.01,7.74,1.3,9.79,48.59,33.87,21.21,2.62,-299.82,-1.57,0.5,24.37,10.56,15.74,0.8,2.05,0.43,0.57,0.97,0.3,12.8,1239740.0,6.23,1.52,8309402444.0,14,1,6,Transporte,Serviços de Apoio e Armazenagem,Bens Industriais,4.1,42.19
432,POSITIVO TECNOLOGIA S.A.,POSI3,4.04,-1446.65,0.36,2.59,0.13,5.04,25.6,6.45,-0.01,0.17,0.48,-0.38,0.77,-0.02,-0.01,6.9,0.34,2.44,0.36,0.64,1.69,14.44,14.0,4405560.9,11.26,0.0,572872000.0,81,8,40,Computadores e Equipamentos,Computadores e Equipamentos,Tecnologia da Informação,6.78,
679,FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A,POWE3,10.9,23.92,0.99,17.55,0.38,10.6,6.82,3.52,2.59,0.62,6.57,-0.74,0.61,4.13,1.58,3.81,-0.39,-6.96,0.38,0.62,1.13,-1.77,,,11.02,0.46,977237930.4,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
567,POLPAR S.A.,PPAR3,14.6,1.58,0.07,1.45,0.05,-0.4,,,,,0.77,-0.05,0.0,4.38,3.14,3.76,-0.09,-1.85,0.72,0.28,80.81,0.06,,,211.21,9.25,3241200.0,57,4,25,Outros,Outros,Financeiro e Outros,80.13,35.18
567,POLPAR S.A.,PPAR4,0.0,0.0,0.0,0.0,0.0,-0.4,,,,,0.0,0.0,0.0,4.38,3.14,3.76,-0.09,-1.85,0.72,0.28,80.81,0.0,,,211.21,9.25,3241200.0,57,4,25,Outros,Outros,Financeiro e Outros,,35.18
365,PPLA PARTICIPATIONS LTD.,PPLA11,0.76,0.36,213.91,0.36,2.61,0.36,,,,,,-213.91,0.0,59960.0,732.11,59960.0,0.0,0.0,0.01,0.99,1.0,0.0,,461.65,0.0,2.13,2139146.16,61,4,28,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,Financeiro e Outros,,
406,PETRO RIO S.A.,PRIO3,40.6,3.51,1.36,11.04,0.59,16.64,30.43,22.33,70.19,2.47,4.73,-0.77,0.24,38.74,16.83,-10.36,0.69,5.6,0.43,0.57,2.21,0.03,54.25,293342483.62,29.84,11.56,35299904992.8,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,,73.69
175,PRINER SERVIÇOS INDUSTRIAIS S.A.,PRNR3,16.3,160.93,1.89,8.18,0.59,9.99,21.33,7.48,0.38,0.61,1.69,-1.48,0.97,1.17,0.37,8.24,0.42,1.8,0.32,0.67,2.42,0.75,25.85,5914045.86,8.64,0.1,924548339.1,12,1,5,Serviços,Serviços Diversos,Bens Industriais,0.32,
361,PORTO SEGURO S.A.,PSSA3,47.91,9.64,2.08,9.67,0.58,5.58,100.0,8.32,8.35,0.8,4.69,-1.45,0.72,21.54,6.02,11.95,-0.88,-4.09,0.28,0.72,1.26,0.47,14.28,95650357.62,23.07,4.97,30977938134.6,59,4,26,Previdência e Seguros,Seguradoras,Financeiro e Outros,6.29,18.43
169,PBG S/A,PTBL3,3.14,-2.33,2.28,4.17,0.12,13.89,35.85,4.09,-7.34,0.17,-7.46,-0.19,0.73,-97.87,-5.34,5.87,5.31,9.73,0.05,0.95,0.96,0.0,16.66,554570.19,1.38,-1.35,442698822.04,4,1,2,Construção e Engenharia,Produtos para Construção,Bens Industriais,,
187,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,PTCA11,0.0,0.0,0.0,0.0,0.0,1.72,47.58,10.09,6.67,0.0,0.0,0.0,1.28,21.49,8.56,14.16,0.56,1.72,0.4,0.6,1.95,0.0,19.72,,33.71,7.25,0.0,8,1,3,Máquinas e Equipamentos,Máq. e Equip. Industriais,Bens Industriais,,24.8
187,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,PTCA3,0.0,0.0,0.0,0.0,0.0,1.72,47.58,10.09,6.67,0.0,0.0,0.0,1.28,21.49,8.56,14.16,0.56,1.72,0.4,0.6,1.95,0.0,19.72,,33.71,7.25,0.0,8,1,3,Máquinas e Equipamentos,Máq. e Equip. Industriais,Bens Industriais,,24.8
267,PETTENATI S.A. INDUSTRIA TEXTIL,PTNT3,8.97,10.39,0.84,10.69,0.42,10.51,14.64,4.81,4.96,0.51,1.27,-0.95,0.82,8.13,4.05,-0.07,0.26,3.24,0.5,0.5,2.48,0.2,12.5,5181.5,10.62,0.86,292929576.52,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,2.96,
267,PETTENATI S.A. INDUSTRIA TEXTIL,PTNT4,4.66,5.4,0.44,5.55,0.22,10.51,14.64,4.81,4.96,0.27,0.66,-0.49,0.82,8.13,4.05,-0.07,0.26,3.24,0.5,0.5,2.48,0.1,12.5,16286.62,10.62,0.86,292929576.52,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,,
430,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL3,2.23,64.91,0.48,3.27,0.16,8.06,86.26,13.14,0.66,0.43,-2.03,-0.25,0.38,0.74,0.25,6.84,0.7,4.79,0.34,0.66,0.81,-0.58,-4.63,7222869.67,4.67,0.03,633351944.75,80,7,39,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,Saúde,0.25,-52.24
568,QUALITY SOFTWARE S.A.,QUSW3,0.0,0.0,0.0,0.0,0.0,1.16,86.2,48.58,34.42,0.0,0.0,0.0,0.28,23.38,9.48,13.54,0.38,1.16,0.41,0.59,1.09,0.0,-12.03,,138.25,32.33,0.0,82,8,41,Programas e Serviços,Programas e Serviços,Tecnologia da Informação,,66.13
